,methodName,trueRho,timeSeriesLength,estMean,mean_low,mean_high
0,Naive,0.1,30,0.0906530126342512,-0.27899831477293036,0.4603043400414327
1,BlockAveraging,0.1,30,0.0906530126342512,-0.25330264387105816,0.43460866913956053
2,Chodera,0.1,30,0.0906530126342512,-0.2727852449264542,0.45409127019495654
3,Sokal,0.1,30,0.0906530126342512,-0.11280581089389326,0.29411183616239567
4,AR1_correction,0.1,30,0.0906530126342512,-0.3559266110359188,0.5372326363044212
5,AR1_Bayes,0.1,30,0.0906530126342512,-0.6291848057300129,0.730085277764645
6,Naive,0.1,30,-0.12124916551811232,-0.49816199341845463,0.25566366238223
7,BlockAveraging,0.1,30,-0.12124916551811232,-0.5794854412702083,0.33698711023398364
8,Chodera,0.1,30,-0.12124916551811232,-0.6392556936801983,0.3967573626439736
9,Sokal,0.1,30,-0.12124916551811232,-0.4856082175655043,0.24310988652927967
10,AR1_correction,0.1,30,-0.12124916551811232,-0.6648350780423637,0.42233674700613916
11,AR1_Bayes,0.1,30,-0.12124916551811232,-0.9703201220695516,0.587856746110883
12,Naive,0.1,30,0.1559483550715911,-0.1679497261614915,0.4798464363046737
13,BlockAveraging,0.1,30,0.1559483550715911,-95.42861775978389,95.74051446992706
14,Chodera,0.1,30,0.1559483550715911,-0.16250567320500353,0.47440238334818574
15,Sokal,0.1,30,0.1559483550715911,0.066354789484442,0.2455419206587402
16,AR1_correction,0.1,30,0.1559483550715911,-0.04107134144730032,0.3529680515904825
17,AR1_Bayes,0.1,30,0.1559483550715911,-0.06532307142107799,0.40110150187640603
18,Naive,0.1,30,0.25588655726261594,-0.12353982853449014,0.635312943059722
19,BlockAveraging,0.1,30,0.25588655726261594,-70.75901227303659,71.27078538756182
20,Chodera,0.1,30,0.25588655726261594,-0.2024173974968424,0.7141905120220743
21,Sokal,0.1,30,0.25588655726261594,-0.09239300024023234,0.6041661147654642
22,AR1_correction,0.1,30,0.25588655726261594,-0.16423346525094928,0.6760065797761812
23,AR1_Bayes,0.1,30,0.25588655726261594,-0.176147770525545,0.76395551819584
24,Naive,0.1,30,-0.03681655597270882,-0.46730290609351915,0.3936697941481015
25,BlockAveraging,0.1,30,-0.03681655597270882,-0.40948858272987376,0.3358554707844561
26,Chodera,0.1,30,-0.03681655597270882,-0.46006732606729356,0.3864342141218759
27,Sokal,0.1,30,-0.03681655597270882,-0.25198811786780817,0.17835500592239056
28,AR1_correction,0.1,30,-0.03681655597270882,-0.43074519633010727,0.3571120843846896
29,AR1_Bayes,0.1,30,-0.03681655597270882,-0.49974114036131645,0.4077072976707035
30,Naive,0.1,30,-0.26761071763785355,-0.5593174588952485,0.024096023619541496
31,BlockAveraging,0.1,30,-0.26761071763785355,-63.794640960675906,63.259419525400205
32,Chodera,0.1,30,-0.26761071763785355,-0.6116279823848744,0.07640654710916728
33,Sokal,0.1,30,-0.26761071763785355,-0.5497386188875433,0.014517183611836126
34,AR1_correction,0.1,30,-0.26761071763785355,-0.5317407785919542,-0.0034806566837528585
35,AR1_Bayes,0.1,30,-0.26761071763785355,-0.58883539361415,0.023897620955599386
36,Naive,0.1,30,0.2139357513352032,-0.13306462643938566,0.5609361291097921
37,BlockAveraging,0.1,30,0.2139357513352032,-0.05377267037301381,0.4816441730434202
38,Chodera,0.1,30,0.2139357513352032,-0.12723227193659142,0.5551037746069978
39,Sokal,0.1,30,0.2139357513352032,0.029856161756305566,0.39801534091410085
40,AR1_correction,0.1,30,0.2139357513352032,-0.10643071439089036,0.5343022170612968
41,AR1_Bayes,0.1,30,0.2139357513352032,-0.1485191323635539,0.5957384472090286
42,Naive,0.1,30,0.2881787699463191,-0.10008749271251943,0.6764450326051576
43,BlockAveraging,0.1,30,0.2881787699463191,-0.15453751189642473,0.7308950517890629
44,Chodera,0.1,30,0.2881787699463191,-0.1302270800074461,0.7065846199000843
45,Sokal,0.1,30,0.2881787699463191,0.05310535448430184,0.5232521854083363
46,AR1_correction,0.1,30,0.2881787699463191,-0.13611978521221785,0.712477325104856
47,AR1_Bayes,0.1,30,0.2881787699463191,-0.21744973060638492,0.8029365618475874
48,Naive,0.1,30,0.18524498670443218,-0.11136904361602229,0.48185901702488665
49,BlockAveraging,0.1,30,0.18524498670443218,-57.050188593922755,57.42067856733162
50,Chodera,0.1,30,0.18524498670443218,-0.1578361120340805,0.5283260854429448
51,Sokal,0.1,30,0.18524498670443218,-0.02795836243436367,0.39844833584322803
52,AR1_correction,0.1,30,0.18524498670443218,-0.06828017728043728,0.43877015068930164
53,AR1_Bayes,0.1,30,0.18524498670443218,-0.10483573244117708,0.4840121719736554
54,Naive,0.1,30,-0.18033298099603598,-0.5349905273304919,0.17432456533841992
55,BlockAveraging,0.1,30,-0.18033298099603598,-0.5444839966694284,0.18381803467735638
56,Chodera,0.1,30,-0.18033298099603598,-0.5290294717530325,0.16836350976096057
57,Sokal,0.1,30,-0.18033298099603598,-0.3423668948615298,-0.018299067130542107
58,AR1_correction,0.1,30,-0.18033298099603598,-0.5632414574095426,0.20257549541747064
59,AR1_Bayes,0.1,30,-0.18033298099603598,-0.7032817000557703,0.2111234059155489
60,Naive,0.1,30,-0.13235132481951548,-0.43068748525823575,0.16598483561920482
61,BlockAveraging,0.1,30,-0.13235132481951548,-0.7164548561827525,0.4517522065437215
62,Chodera,0.1,30,-0.13235132481951548,-0.5311411612413671,0.2664385116023361
63,Sokal,0.1,30,-0.13235132481951548,-0.44349760590237797,0.178794956263347
64,AR1_correction,0.1,30,-0.13235132481951548,-0.6567039594918445,0.39200130985281345
65,AR1_Bayes,0.1,30,-0.13235132481951548,-0.8390345501199842,0.6252583371129279
